Voie;Code ID commune;Code postal;Commune;Code departement;Code commune;CODE;Unnamed: 15;Unnamed: 16;No Volume;Unnamed: 18;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales
MARIUS JACOTOT;2941;92800.0;PUTEAUX;92;62;92062;;;;;12,04;;;;;;;;;1;2;Appartement;;14;1
JEAN;2988;93400.0;SAINT-OUEN-SUR-SEINE;93;70;93070;;;;;23;;;;;;;;;1;2;Appartement;;20;1
DE L'ARCHEVECHE;3025;94220.0;CHARENTON-LE-PONT;94;18;94018;;;;;52,21;;;;;;;;;2;2;Appartement;;52;3
MAUCONSEIL;3064;94120.0;FONTENAY-SOUS-BOIS;94;33;94033;;;;;22,76;;;;;;;;;1;2;Appartement;;25;1
DE VINCENNES;3064;94120.0;FONTENAY-SOUS-BOIS;94;33;94033;;;;;26,4;;;;;;;;;1;2;Appartement;;27;1
MADELEINE;3064;94120.0;FONTENAY-SOUS-BOIS;94;33;94033;;;;;13,09;;;;;;;;;1;2;Appartement;;25;1
ANTOINE THOMAS;3028;94200.0;IVRY-SUR-SEINE;94;41;94041;;;;;116,14;;;;;;;;;1;1;Maison;;130;4
HENRI BARBUSSE;3022;94340.0;JOINVILLE-LE-PONT;94;42;94042;;;;;40,07;;;;;;;;;2;2;Appartement;;37;2
PAUL BERT;3060;94130.0;NOGENT-SUR-MARNE;94;52;94052;;;;;137,59;;;;;;;;;2;2;Appartement;;110;5
DU GEN DE GAULLE;3063;94160.0;SAINT-MANDE;94;67;94067;;;;;64,38;;;;;;;;;1;2;Appartement;;64;3
DE VERSAILLES;3035;94320.0;THIAIS;94;73;94073;;;;;41,35;;;;;;;;;2;2;Appartement;;41;2
DE LA REPUBLIQUE;3031;94800.0;VILLEJUIF;94;76;94076;;;;;23,76;;;;;;;;;1;2;Appartement;;23;1
GEORGES HUCHON;3061;94300.0;VINCENNES;94;80;94080;;;;;41,72;;;;;;;;;1;2;Appartement;;42;2
P VAILLANT COUTURIER;3101;95190.0;GOUSSAINVILLE;95;280;95280;;;;;44,39;;;;;;;;;2;2;Appartement;;45;1
AUGUSTIN SAINT CYR;3180;97354.0;REMIRE MONTJOLY;973;309;97309;;;;;57,75;;;;;;;;;1;2;Appartement;;73;2
LOUVART DE PONTLEVOYE;3192;97419.0;LA POSSESSION;974;408;97408;;;;;50,82;;;;;;;;;2;2;Appartement;;66;2
DES VERTES CAMPAGNES;9;1170.0;GEX;1;173;1173;;;;;92,45;;;;;;;;;1;2;Appartement;;105;3
REINE DES ALPES;90;4400.0;BARCELONNETTE;4;19;4019;;;;;25,44;;;;;;;;;1;2;Appartement;;26;2
JEAN MOULIN;77;4200.0;SISTERON;4;209;4209;;;;;75,06;;;;;;;;;1;2;Appartement;;74;3
DES ARCADES;77;4200.0;SISTERON;4;209;4209;;;;;55,5;;;;;;;;;2;2;Appartement;;61;2
GEORGES DE SALVE;104;4210.0;VALENSOLE;4;230;4230;;;;;19,28;;;;;;;;;1;2;Appartement;;19;1
LES BERNARDS;130;5230.0;CHORGES;5;40;5040;;;;;59,66;;;;;;;;;1;1;Maison;;69;3
ST JULIEN;132;5500.0;SAINT-BONNET-EN-CHAMPSAUR;5;132;5132;;;;;56,81;;;;;;;;;1;2;Appartement;;56;3
PIERRE DELMAS;204;6600.0;ANTIBES;6;4;6004;;;;;62,16;;;;;;;;;2;2;Appartement;;62;3
DES GERANIUMS;151;6240.0;BEAUSOLEIL;6;12;6012;;;;;24,74;;;;;;;;;1;2;Appartement;;31;0
RAYMOND GRAMAGLIA;170;6320.0;CAP-D AIL;6;32;6032;;;;;70;;;;;;;;;1;2;Appartement;;70;2
HONORE TEISSEIRE;229;6480.0;LA COLLE SUR LOUP;6;44;6044;;;;;68,46;;;;;;;;;1;2;Appartement;;68;3
JEANNE;149;6500.0;MENTON;6;83;6083;;;;;43,65;;;;;;;;;2;2;Appartement;;54;4
PRATO;149;6500.0;MENTON;6;83;6083;;;;;51,68;;;;;;;;;1;2;Appartement;;68;1
MARALDI;143;6300.0;NICE;6;88;6088;;;;;41,24;;;;;;;;;1;2;Appartement;;30;2
HESPERIDES;143;6300.0;NICE;6;88;6088;;;;;43,08;;;;;;;;;1;2;Appartement;;30;2
STALINGRAD;143;6300.0;NICE;6;88;6088;;;;;91,17;;;;;;;;;2;2;Appartement;;100;5
DUBOUCHAGE;142;6000.0;NICE;6;88;6088;;;;;80,71;;;;;;;;;1;2;Appartement;;84;4
ROBERT SCHUMAN;150;6190.0;ROQUEBRUNE CAP MARTIN;6;104;6104;;;;;70,56;;;;;;;;;2;2;Appartement;;72;3
ANTOINE PEGLION;150;6190.0;ROQUEBRUNE CAP MARTIN;6;104;6104;;;;;56,5;;;;;;;;;1;2;Appartement;;56;3
GEORGES CLEMENCEAU;203;6220.0;VALLAURIS;6;155;6155;;;;;64,66;;;;;;;;;2;2;Appartement;;69;3
MARECHAL JUIN;227;6270.0;VILLENEUVE-LOUBET;6;161;6161;;;;;40,28;;;;;;;;;1;2;Appartement;;38;2
DU LOGIS DE BONNEAU;227;6270.0;VILLENEUVE-LOUBET;6;161;6161;;;;;34,65;;;;;;;;;1;2;Appartement;;34;2
SADI CARNOT;252;7500.0;GUILHERAND-GRANGES;7;102;7102;;;;;54,96;;;;;;;;;1;2;Appartement;;54;3
DES GAREURS;254;7370.0;SARRAS;7;308;7308;;;;;70,85;;;;;;;;;1;2;Appartement;;73;3
DU PRESIDENT KENNEDY;258;8000.0;CHARLEVILLE-MEZIERES;8;105;8105;;;;;10,65;;;;;;;;;3;2;Appartement;;195;6
MAJOR GEN GEORGES VANIER;281;10000.0;TROYES;10;387;10387;;;;;27,63;;;;;;;;;1;2;Appartement;;28;1
DE LA TOUR D AUVERGNE;290;11000.0;CARCASSONNE;11;69;11069;;;;;38,3;;;;;;;;;1;2;Appartement;;39;2
GEORGES CLEMENCEAU;290;11000.0;CARCASSONNE;11;69;11069;;;;;42,69;;;;;;;;;1;2;Appartement;;45;2
DU LOCH;300;11430.0;GRUISSAN;11;170;11170;;;;;24,49;;;;;;;;;1;2;Appartement;;29;2
DU PECH MAYNAUD;300;11430.0;GRUISSAN;11;170;11170;;;;;61,21;;;;;;;;;1;1;Maison;;58;3
TURGOT;302;11100.0;NARBONNE;11;262;11262;;;;;81,18;;;;;;;;;2;2;Appartement;;76;4
DES CYPRES;302;11100.0;NARBONNE;11;262;11262;;;;;84,22;;;;;;;;;1;2;Appartement;;83;4
DE NARBONNE;298;11130.0;SIGEAN;11;379;11379;;;;;78,82;;;;;;;;;1;2;Appartement;;81;4
BEAUSEJOUR;345;13011.0;MARSEILLE 11EME;13;211;13211;;;;;131,55;;;;;;;;;1;2;Appartement;;116;5
DE LA VALBARELLE;345;13011.0;MARSEILLE 11EME;13;211;13211;;;;;54,1;;;;;;;;;2;2;Appartement;;54;3
DE MONTOLIVET;343;13012.0;MARSEILLE 12EME;13;212;13212;;;;;61,15;;;;;;;;;1;2;Appartement;;59;3
DES TROIS LUCS;343;13012.0;MARSEILLE 12EME;13;212;13212;;;;;20,04;;;;;;;;;1;2;Appartement;;20;1
LA REP DE COLOMBIE;371;14800.0;DEAUVILLE;14;220;14220;;;;;31,49;;;;;;;;;1;2;Appartement;;30;1
MONT CANISY;375;14800.0;TOURGEVILLE;14;701;14701;;;;;78,22;;;;;;;;;1;2;Appartement;;87;4
CAP HUBERT DE CARPENTIER;370;14640.0;VILLERS-SUR-MER;14;754;14754;;;;;42,66;;;;;;;;;1;2;Appartement;;12;1
DES CORDELIERS;390;17000.0;LA ROCHELLE;17;300;17300;;;;;102,5;;;;;;;;;1;2;Appartement;;72;3
ALFRED KASTLER;390;17000.0;LA ROCHELLE;17;300;17300;;;;;21,72;;;;;;;;;1;2;Appartement;;22;1
PAUL COMMENGE;415;18000.0;BOURGES;18;33;18033;;;;;39,95;;;;;;;;;1;2;Appartement;;43;2
DU VAU LOUIS;431;22000.0;SAINT-BRIEUC;22;278;22278;;;;;45,95;;;;;;;;;1;2;Appartement;;45;2
CITE HELIOS;463;22560.0;TREBEURDEN;22;343;22343;;;;;28,57;;;;;;;;;1;2;Appartement;;30;2
DU GRAND LARGE;462;22660.0;TREVOU-TREGUIGNEC;22;379;22379;;;;;37,92;;;;;;;;;1;1;Maison;;41;3
PIERRE JOSEPH BRIOT;480;25000.0;BESANCON;25;56;25056;;;;;70,07;;;;;;;;;1;2;Appartement;;78;3
GEORGES GAUDOT;480;25000.0;BESANCON;25;56;25056;;;;;64,23;;;;;;;;;1;2;Appartement;;64;3
DES ECOLES;488;25960.0;DELUZ;25;197;25197;;;;;89,21;;;;;;;;;7;2;Appartement;;100;4
DE VERDUN;533;26110.0;NYONS;26;220;26220;;;;;54,84;;;;;;;;;2;2;Appartement;;54;2
LE VILLAGE;534;26740.0;SAUZET;26;338;26338;;;;;95,09;;;;;;;;;1;2;Appartement;;150;4
HECTOR RIDEL;551;27000.0;EVREUX;27;229;27229;;;;;14,22;;;;;;;;;1;2;Appartement;;12;1
SAINTE GENEVIEVE;554;27200.0;VERNON;27;681;27681;;;;;93,09;;;;;;;;;2;2;Appartement;;110;4
JEAN DE DUNOIS;564;28000.0;CHARTRES;28;85;28085;;;;;77,42;;;;;;;;;2;2;Appartement;;64;3
SALVADOR ALLENDE;564;28000.0;CHARTRES;28;85;28085;;;;;73,37;;;;;;;;;1;2;Appartement;;75;3
DU CROC SALE;565;28320.0;GALLARDON;28;168;28168;;;;;77,9;;;;;;;;;1;2;Appartement;;77;4
PAUL BERT;601;29200.0;BREST;29;19;29019;;;;;64,24;;;;;;;;;1;2;Appartement;;64;3
DE LA PORTE;601;29200.0;BREST;29;19;29019;;;;;31,06;;;;;;;;;2;2;Appartement;;29;1
DES ROCHES JAUNES;613;29630.0;PLOUGASNOU;29;188;29188;;;;;35,58;;;;;;;;;1;2;Appartement;;36;2
COLLINES PIETRALBA II;618;20090.0;AJACCIO;2A;4;2A004;;;;;80,99;;;;;;;;;2;2;Appartement;;80;3
L'OREE DU BOIS  RN 193;618;20090.0;AJACCIO;2A;4;2A004;;;;;31,85;;;;;;;;;1;2;Appartement;;31;1
SAGONE;651;20118.0;COGGIA;2A;90;2A090;;;;;58,35;;;;;;;;;1;2;Appartement;;64;2
SAN CIPRIANO;623;20137.0;LECCI;2A;139;2A139;;;;;46,57;;;;;;;;;1;1;Maison;;54;2
NAPOLEON III;617;20110.0;PROPRIANO;2A;249;2A249;;;;;23,34;;;;;;;;;1;2;Appartement;;24;1
MICHEL;673;30230.0;BOUILLARGUES;30;47;30047;;;;;45,85;;;;;;;;;1;2;Appartement;;58;3
DU DR JEAN BASTIDE;663;30240.0;LE GRAU DU ROI;30;133;30133;;;;;46,35;;;;;;;;;1;2;Appartement;;35;2
DES BARRIERES;733;31780.0;CASTELGINEST;31;116;31116;;;;;60,24;;;;;;;;;1;2;Appartement;;60;3
DE CEZEROU;753;31270.0;CUGNAUX;31;157;31157;;;;;47,8;;;;;;;;;2;2;Appartement;;47;2
EMILE DEWOITINE;730;31200.0;TOULOUSE;31;555;31555;;;;;41,48;;;;;;;;;1;2;Appartement;;43;2
ESTIEU;732;31500.0;TOULOUSE;31;555;31555;;;;;64,08;;;;;;;;;2;2;Appartement;;64;3
SAINTE CATHERINE;729;31400.0;TOULOUSE;31;555;31555;;;;;11,78;;;;;;;;;1;2;Appartement;;15;1
DES TOURNEURS;731;31000.0;TOULOUSE;31;555;31555;;;;;85,66;;;;;;;;;1;2;Appartement;;93;4
JAUFRE RUDEL;746;31300.0;TOULOUSE;31;555;31555;;;;;24,35;;;;;;;;;1;2;Appartement;;25;1
DE LA PLAGE;817;33510.0;ANDERNOS-LES-BAINS;33;5;33005;;;;;23,67;;;;;;;;;1;2;Appartement;;23;1
DES MARQUISES;809;33120.0;ARCACHON;33;9;33009;;;;;67,36;;;;;;;;;1;2;Appartement;;69;2
MOLIERE;809;33120.0;ARCACHON;33;9;33009;;;;;38,34;;;;;;;;;1;2;Appartement;;38;1
FEAUGAS;818;33100.0;BORDEAUX;33;63;33063;;;;;29,98;;;;;;;;;1;2;Appartement;;32;1
GOYA;783;33000.0;BORDEAUX;33;63;33063;;;;;44,04;;;;;;;;;1;2;Appartement;;48;2
CAZALIS;784;33300.0;BORDEAUX;33;63;33063;;;;;54,49;;;;;;;;;1;2;Appartement;;50;3
AUSONE;785;33520.0;BRUGES;33;75;33075;;;;;40,9;;;;;;;;;1;2;Appartement;;41;2
PIERRE ANDRON;785;33520.0;BRUGES;33;75;33075;;;;;47,4;;;;;;;;;1;2;Appartement;;47;2
PAUL VERLAINE;814;33150.0;CENON;33;119;33119;;;;;71,1;;;;;;;;;1;2;Appartement;;63;3
PIERRE CURIE;814;33150.0;CENON;33;119;33119;;;;;17,42;;;;;;;;;1;2;Appartement;;18;1
DE LA LIBERTE;786;33680.0;LACANAU;33;214;33214;;;;;20,98;;;;;;;;;1;2;Appartement;;20;1
DE RAMBAUD;832;33850.0;LEOGNAN;33;238;33238;;;;;90,73;;;;;;;;;1;1;Maison;;90;4
JEAN JAURES;801;33600.0;PESSAC;33;318;33318;;;;;66,68;;;;;;;;;1;1;Maison;;71;3
DE LA DAUGE;849;33240.0;SAINT-ANDRE-DE-CUBZAC;33;366;33366;;;;;28,25;;;;;;;;;1;2;Appartement;;28;1
MISSION HAUT BRION;800;33400.0;TALENCE;33;522;33522;;;;;93,02;;;;;;;;;1;2;Appartement;;92;4
RENE GOBLET;800;33400.0;TALENCE;33;522;33522;;;;;41,98;;;;;;;;;1;2;Appartement;;42;2
DES CISTES;812;33260.0;LA TESTE-DE-BUCH;33;529;33529;;;;;80,97;;;;;;;;;1;2;Appartement;;81;4
LIEUTENANT ROUCH;852;33550.0;LE TOURNE;33;534;33534;;;;;124,27;;;;;;;;;1;2;Appartement;;123;4
MAL DE LATTRE DE TASSIGNY;802;33140.0;VILLENAVE D ORNON;33;550;33550;;;;;58,13;;;;;;;;;1;2;Appartement;;58;3
DE LA CHEVRETTE;947;34300.0;AGDE;34;3;34003;;;;;54,11;;;;;;;;;1;1;Maison;;54;3
PASTEUR;904;34540.0;BALARUC LES BAINS;34;23;34023;;;;;46,28;;;;;;;;;1;2;Appartement;;44;2
DU TEMPLE;945;34500.0;BEZIERS;34;32;34032;;;;;45,94;;;;;;;;;2;2;Appartement;;45;2
GEORGES CLEMENCEAU;945;34500.0;BEZIERS;34;32;34032;;;;;74,55;;;;;;;;;1;2;Appartement;;63;3
DU ROUERGUE;906;34190.0;GANGES;34;111;34111;;;;;90,25;;;;;;;;;3;1;Maison;;110;5
GAMBETTA;886;34000.0;MONTPELLIER;34;172;34172;;;;;22,1;;;;;;;;;1;2;Appartement;;19;1
CAPITAINE DAVID;948;34120.0;PEZENAS;34;199;34199;;;;;48,85;;;;;;;;;1;2;Appartement;;20;1
NOEL GUIGNON;901;34200.0;SETE;34;301;34301;;;;;124,35;;;;;;;;;1;2;Appartement;;124;3
PAUL BOUSQUET;901;34200.0;SETE;34;301;34301;;;;;54,64;;;;;;;;;1;2;Appartement;;56;3
DES ELYSEES;943;34350.0;VALRAS-PLAGE;34;324;34324;;;;;65,34;;;;;;;;;1;2;Appartement;;64;3
DU MONT SAINT MICHEL;963;35830.0;BETTON;35;24;35024;;;;;48,2;;;;;;;;;1;2;Appartement;;48;2
GERMINAL;966;35230.0;NOYAL-CHATILLON-SUR-SEICHE;35;206;35206;;;;;63;;;;;;;;;1;2;Appartement;;63;3
LA GARDE GUERIN;1017;35800.0;SAINT-BRIAC-SUR-MER;35;256;35256;;;;;40,31;;;;;;;;;2;2;Appartement;;39;2
THEOPHILE BRIANT;1010;35400.0;SAINT-MALO;35;288;35288;;;;;57,66;;;;;;;;;2;2;Appartement;;52;3
DE LA LANCETTE;1010;35400.0;SAINT-MALO;35;288;35288;;;;;70,29;;;;;;;;;2;2;Appartement;;74;3
DU LIEUT ROZE;1036;37520.0;LA RICHE;37;195;37195;;;;;54,12;;;;;;;;;1;2;Appartement;;55;3
FRANCOIS SICARD;1035;37000.0;TOURS;37;261;37261;;;;;57,5;;;;;;;;;1;2;Appartement;;65;2
ETIENNE DE LA BOETIE;1065;38320.0;EYBENS;38;158;38158;;;;;105,24;;;;;;;;;1;2;Appartement;;105;5
BERTHE DE BOISSIEUX;1054;38000.0;GRENOBLE;38;185;38185;;;;;86;;;;;;;;;1;2;Appartement;;85;3
PASCAL;1055;38100.0;GRENOBLE;38;185;38185;;;;;101,87;;;;;;;;;1;2;Appartement;;98;5
DE VERDUN;1059;38240.0;MEYLAN;38;229;38229;;;;;64,9;;;;;;;;;1;2;Appartement;;64;3
DU CLOS CAPPERONY;1134;39220.0;LES ROUSSES;39;470;39470;;;;;28,6;;;;;;;;;1;2;Appartement;;28;3
DES COLIBRIS;1157;40100.0;DAX;40;88;40088;;;;;62,7;;;;;;;;;2;2;Appartement;;63;3
DU MARECHAL LECLERC;1176;40140.0;SOUSTONS;40;310;40310;;;;;66,12;;;;;;;;;1;1;Maison;;95;4
DU HUIT MAI 1945;1252;42153.0;RIORGES;42;184;42184;;;;;80,42;;;;;;;;;1;1;Maison;;55;3
CHARLES DE GAULLE;1248;42300.0;ROANNE;42;187;42187;;;;;122,63;;;;;;;;;7;2;Appartement;;210;5
ALBERT THOMAS;1248;42300.0;ROANNE;42;187;42187;;;;;57,22;;;;;;;;;2;2;Appartement;;58;2
ELISEE RECLUS;1204;42000.0;SAINT-ETIENNE;42;218;42218;;;;;26,18;;;;;;;;;1;2;Appartement;;25;1
DESIRE CLAUDE;1205;42100.0;SAINT-ETIENNE;42;218;42218;;;;;119,23;;;;;;;;;4;2;Appartement;;125;5
CHARLES DUPUY;1268;43700.0;BRIVES-CHARENSAC;43;41;43041;;;;;83,76;;;;;;;;;1;2;Appartement;;83;3
GAL LECLERC (VC9);1349;44490.0;LE CROISIC;44;49;44049;;;;;21,6;;;;;;;;;1;2;Appartement;;21;2
BERLIOZ;1347;44500.0;LA BAULE-ESCOUBLAC;44;55;44055;;;;;48,26;;;;;;;;;1;2;Appartement;;52;3
MATHELIN RODIER;1277;44000.0;NANTES;44;109;44109;;;;;84,4;;;;;;;;;3;1;Maison;;90;4
LEON BLUM;1277;44000.0;NANTES;44;109;44109;;;;;26,78;;;;;;;;;1;2;Appartement;;27;1
DE LONGCHAMP;1279;44300.0;NANTES;44;109;44109;;;;;17,7;;;;;;;;;1;2;Appartement;;18;1
VILLA MARIA;1277;44000.0;NANTES;44;109;44109;;;;;124,66;;;;;;;;;3;2;Appartement;;125;4
EUGENIE  COTTON;1286;44400.0;REZE;44;143;44143;;;;;48;;;;;;;;;1;2;Appartement;;50;2
DE MORLAIX;1282;44800.0;ST-HERBLAIN;44;162;44162;;;;;89,75;;;;;;;;;2;2;Appartement;;90;5
HENRI BERGSON;1370;45430.0;CHECY;45;89;45089;;;;;64,31;;;;;;;;;2;2;Appartement;;65;3
DES POILUS;1357;45160.0;OLIVET;45;232;45232;;;;;51,48;;;;;;;;;1;2;Appartement;;47;2
TOLSTOI;1396;47000.0;AGEN;47;1;47001;;;;;80,26;;;;;;;;;2;1;Maison;;80;4
ALEXANDRE BECAMEL;1411;48000.0;MENDE;48;95;48095;;;;;46,66;;;;;;;;;1;2;Appartement;;45;2
DE LA CHALOUERE;1419;49100.0;ANGERS;49;7;49007;;;;;83,07;;;;;;;;;2;2;Appartement;;83;4
AYRAULT;1419;49100.0;ANGERS;49;7;49007;;;;;41,38;;;;;;;;;1;2;Appartement;;40;2
DE CONTADES;1418;49000.0;ANGERS;49;7;49007;;;;;36,2;;;;;;;;;1;2;Appartement;;36;1
MONTESQUIEU;1418;49000.0;ANGERS;49;7;49007;;;;;43,97;;;;;;;;;1;2;Appartement;;43;2
HENRI ENGUEHARD;1418;49000.0;ANGERS;49;7;49007;;;;;67,84;;;;;;;;;1;2;Appartement;;68;3
DU VAL D OR;1431;49240.0;AVRILLE;49;15;49015;;;;;93,37;;;;;;;;;2;2;Appartement;;93;4
VICTOR HUGO;1434;49460.0;MONTREUIL-JUIGNE;49;214;49214;;;;;42;;;;;;;;;2;2;Appartement;;42;2
BEAUSEJOUR;1434;49460.0;MONTREUIL-JUIGNE;49;214;49214;;;;;95,16;;;;;;;;;1;1;Maison;;93;5
ALBERT MAHIEU CHERBOURG;1457;50100.0;CHERBOURG-EN-COTENTIN;50;129;50129;;;;;52,39;;;;;;;;;1;2;Appartement;;47;2
DE VALMY;1476;51000.0;CHALONS EN CHAMPAGNE;51;108;51108;;;;;57,69;;;;;;;;;2;2;Appartement;;58;3
EUSTACHE DESCHAMPS;1476;51000.0;CHALONS EN CHAMPAGNE;51;108;51108;;;;;68,11;;;;;;;;;1;2;Appartement;;64;4
DES AUGUSTINS;1476;51000.0;CHALONS EN CHAMPAGNE;51;108;51108;;;;;34,66;;;;;;;;;1;2;Appartement;;34;1
DES HUGUENOTS;1482;51200.0;EPERNAY;51;230;51230;;;;;55,54;;;;;;;;;2;2;Appartement;;55;2
L HOPITAL AUBAN MOET;1482;51200.0;EPERNAY;51;230;51230;;;;;41,24;;;;;;;;;2;2;Appartement;;45;3
PASTEUR;1488;51100.0;REIMS;51;454;51454;;;;;67,34;;;;;;;;;2;2;Appartement;;66;4
DE CERNAY;1488;51100.0;REIMS;51;454;51454;;;;;27,06;;;;;;;;;1;2;Appartement;;35;1
DU GENERAL LECLERC;1503;52000.0;CHAUMONT;52;121;52121;;;;;39,91;;;;;;;;;1;2;Appartement;;42;2
CHANZY;1507;53000.0;LAVAL;53;130;53130;;;;;63,07;;;;;;;;;2;2;Appartement;;63;4
BERNARD LE PECQ;1507;53000.0;LAVAL;53;130;53130;;;;;29,11;;;;;;;;;1;1;Maison;;31;2
SAINT DIZIER;1512;54000.0;NANCY;54;395;54395;;;;;35,99;;;;;;;;;1;2;Appartement;;21;1
DE LA CONCORDE;1591;56620.0;CLEGUER;56;40;56040;;;;;140,8;;;;;;;;;1;2;Appartement;;139;3
DU SCORFF;1582;56100.0;LORIENT;56;121;56121;;;;;52,75;;;;;;;;;1;2;Appartement;;53;2
LEON DUROCHER;1615;56300.0;PONTIVY;56;178;56178;;;;;60,44;;;;;;;;;1;2;Appartement;;59;3
DE LA CHEVALERIE;1637;59650.0;VILLENEUVE-D'ASCQ;59;9;59009;;;;;51,1;;;;;;;;;1;2;Appartement;;50;2
CLAUDE DEBUSSY;1637;59650.0;VILLENEUVE-D'ASCQ;59;9;59009;;;;;54,84;;;;;;;;;2;2;Appartement;;54;3
VERTE;1639;59170.0;CROIX;59;163;59163;;;;;88,53;;;;;;;;;2;2;Appartement;;90;3
GISELE DE FRIOUL;1662;59830.0;CYSOING;59;168;59168;;;;;112,85;;;;;;;;;1;2;Appartement;;134;4
DE DUNKERQUE LOMME;1644;59160.0;LILLE;59;350;59350;;;;;22,42;;;;;;;;;1;2;Appartement;;26;2
DE LA GRANDE CHAUSSEE;1625;59800.0;LILLE;59;350;59350;;;;;17,4;;;;;;;;;1;2;Appartement;;17;1
MARC SANGNIER;1640;59390.0;LYS LEZ LANNOY;59;367;59367;;;;;86,43;;;;;;;;;1;2;Appartement;;84;4
KLEBER;1626;59110.0;LA MADELEINE;59;368;59368;;;;;58,56;;;;;;;;;1;2;Appartement;;56;2
SAINT MAUR;1626;59110.0;LA MADELEINE;59;368;59368;;;;;103,7;;;;;;;;;1;1;Maison;;95;4
ROBERT SCHUMANN;1667;59700.0;MARCQ EN BAROEUL;59;378;59378;;;;;87,31;;;;;;;;;1;1;Maison;;87;4
LOUIS BRAILLE;1635;59790.0;RONCHIN;59;507;59507;;;;;71,37;;;;;;;;;1;2;Appartement;;73;3
DE LA REPUBLIQUE;1698;60000.0;BEAUVAIS;60;57;60057;;;;;23,23;;;;;;;;;1;2;Appartement;;23;1
DE SAINT JUST DES MARAIS;1698;60000.0;BEAUVAIS;60;57;60057;;;;;47,94;;;;;;;;;1;2;Appartement;;49;2
D'ORGEMONT;1739;60500.0;CHANTILLY;60;141;60141;;;;;29,57;;;;;;;;;2;2;Appartement;;31;2
CHARLES BARRIQUAND;1718;60200.0;COMPIEGNE;60;159;60159;;;;;86,76;;;;;;;;;3;2;Appartement;;84;4
LOUIS BLOQUET;1699;60110.0;MERU;60;395;60395;;;;;66,86;;;;;;;;;5;2;Appartement;;46;3
JEAN JAURES;1747;60160.0;MONTATAIRE;60;414;60414;;;;;33,63;;;;;;;;;1;2;Appartement;;35;1
LAFAYETTE;1803;62100.0;CALAIS;62;193;62193;;;;;32;;;;;;;;;1;2;Appartement;;33;1
DE LA REPUBLIQUE;1798;62750.0;LOOS EN GOHELLE;62;528;62528;;;;;68,49;;;;;;;;;1;2;Appartement;;68;2
ARCADIA ST JEAN ET POUGET;1808;62520.0;LE TOUQUET PARIS PLAGE;62;826;62826;;;;;89,15;;;;;;;;;1;2;Appartement;;75;4
DE LAVAUR;1820;63500.0;ISSOIRE;63;178;63178;;;;;81,5;;;;;;;;;1;1;Maison;;84;4
ALBERT 1ER;1828;64320.0;BIZANOS;64;132;64132;;;;;18,69;;;;;;;;;1;2;Appartement;;19;1
DE LA CASCADE;1846;64440.0;EAUX BONNES;64;204;64204;;;;;78,56;;;;;;;;;1;2;Appartement;;100;2
LOUIS BARTHOU;1846;64440.0;EAUX BONNES;64;204;64204;;;;;46,97;;;;;;;;;2;2;Appartement;;30;1
GOURETTE;1846;64440.0;EAUX BONNES;64;204;64204;;;;;42,46;;;;;;;;;1;2;Appartement;;48;2
BELLEVUE;1848;64440.0;LARUNS;64;320;64320;;;;;67,02;;;;;;;;;1;1;Maison;;70;4
LAPEYRERE;1838;64300.0;ORTHEZ;64;430;64430;;;;;33,11;;;;;;;;;2;2;Appartement;;33;2
DE LA REPUBLIQUE;1874;65200.0;BAGNERES-DE-BIGORRE;65;59;65059;;;;;104,32;;;;;;;;;1;2;Appartement;;104;4
DU GEN LECLERC;1869;65110.0;CAUTERETS;65;138;65138;;;;;18,44;;;;;;;;;1;2;Appartement;;18;1
LE CARAVELLE;1883;66700.0;ARGELES SUR MER;66;8;66008;;;;;29,97;;;;;;;;;1;2;Appartement;;30;1
VICTOR HUGO;1900;66600.0;RIVESALTES;66;164;66164;;;;;54,77;;;;;;;;;1;2;Appartement;;30;2
DE LA CHARBONNIERE;2020;69220.0;BELLEVILLE-EN-BEAUJOLAIS;69;19;69019;;;;;46,79;;;;;;;;;1;2;Appartement;;46;2
CENTRALE;1979;69290.0;CRAPONNE;69;69;69069;;;;;62,54;;;;;;;;;1;2;Appartement;;62;3
DE GARGANTUA;1978;69570.0;DARDILLY;69;72;69072;;;;;117,82;;;;;;;;;2;2;Appartement;;104;4
PLACE DE L'EGLISE;1978;69570.0;DARDILLY;69;72;69072;;;;;18,17;;;;;;;;;1;2;Appartement;;22;1
WALDWISSE;1972;69440.0;MORNANT;69;141;69141;;;;;70,25;;;;;;;;;2;2;Appartement;;70;3
COCHARD;1968;69560.0;SAINTE-COLOMBE;69;189;69189;;;;;17,38;;;;;;;;;1;2;Appartement;;18;2
LEDRU ROLLIN;2013;69170.0;TARARE;69;243;69243;;;;;211,54;;;;;;;;;1;2;Appartement;;183;4
D ANSE;2007;69400.0;VILLEFRANCHE;69;264;69264;;;;;58,46;;;;;;;;;2;2;Appartement;;58;3
SALVADOR ALLENDE;1933;69100.0;VILLEURBANNE;69;266;69266;;;;;98,06;;;;;;;;;2;2;Appartement;;89;4
ANATOLE FRANCE;1933;69100.0;VILLEURBANNE;69;266;69266;;;;;23,19;;;;;;;;;1;2;Appartement;;25;1
